Target Image: blackhole2
Final Best MSE: 1073.98
--------------------------------
Evolutionary History for blackhole2
=========================================
Generation 0 | MSE: 3845.80 | Genotype: 
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 10 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 11 | MSE: 2159.97 | Genotype: 
Layer 1 -> c: 0.672+0.216i | Offset X/Y: 0.47/-0.04 | Zoom: 0.58
Layer 2 -> c: -0.397-1.000i | Offset X/Y: -0.22/0.10 | Zoom: 0.51
Layer 3 -> c: -0.697+1.000i | Offset X/Y: 0.75/0.58 | Zoom: 0.56
Layer 4 -> c: 0.353+1.000i | Offset X/Y: 0.23/-0.45 | Zoom: 1.08
Layer 5 -> c: -0.731-1.000i | Offset X/Y: -1.26/0.95 | Zoom: 0.46
Layer 6 -> c: -0.077+0.888i | Offset X/Y: -0.82/-0.60 | Zoom: 0.10

Generation 12 | MSE: 2137.18 | Genotype: 
Layer 1 -> c: -0.068-0.799i | Offset X/Y: 0.92/-0.42 | Zoom: 0.32
Layer 2 -> c: -0.298-1.000i | Offset X/Y: -0.46/0.54 | Zoom: 0.48
Layer 3 -> c: -0.757+1.000i | Offset X/Y: 1.02/0.58 | Zoom: 0.58
Layer 4 -> c: 0.095+1.000i | Offset X/Y: -0.05/0.28 | Zoom: 0.95
Layer 5 -> c: -1.000-1.000i | Offset X/Y: -0.69/0.51 | Zoom: 0.46
Layer 6 -> c: -0.637-0.328i | Offset X/Y: -0.50/0.93 | Zoom: 1.33

Generation 13 | MSE: 2137.18 | Genotype: 
Layer 1 -> c: -0.068-0.799i | Offset X/Y: 0.92/-0.42 | Zoom: 0.32
Layer 2 -> c: -0.298-1.000i | Offset X/Y: -0.46/0.54 | Zoom: 0.48
Layer 3 -> c: -0.757+1.000i | Offset X/Y: 1.02/0.58 | Zoom: 0.58
Layer 4 -> c: 0.095+1.000i | Offset X/Y: -0.05/0.28 | Zoom: 0.95
Layer 5 -> c: -1.000-1.000i | Offset X/Y: -0.69/0.51 | Zoom: 0.46
Layer 6 -> c: -0.637-0.328i | Offset X/Y: -0.50/0.93 | Zoom: 1.33

Generation 14 | MSE: 1938.50 | Genotype: 
Layer 1 -> c: 0.448-0.453i | Offset X/Y: -0.39/0.76 | Zoom: 0.61
Layer 2 -> c: -0.694-0.917i | Offset X/Y: -1.06/0.07 | Zoom: 0.60
Layer 3 -> c: -0.962+1.000i | Offset X/Y: 0.60/0.67 | Zoom: 0.47
Layer 4 -> c: 0.887+0.420i | Offset X/Y: 0.93/-0.98 | Zoom: 1.16
Layer 5 -> c: -0.576-1.000i | Offset X/Y: -0.86/0.59 | Zoom: 0.71
Layer 6 -> c: 0.066-0.190i | Offset X/Y: 0.17/-0.10 | Zoom: 0.10

Generation 15 | MSE: 1938.50 | Genotype: 
Layer 1 -> c: 0.448-0.453i | Offset X/Y: -0.39/0.76 | Zoom: 0.61
Layer 2 -> c: -0.694-0.917i | Offset X/Y: -1.06/0.07 | Zoom: 0.60
Layer 3 -> c: -0.962+1.000i | Offset X/Y: 0.60/0.67 | Zoom: 0.47
Layer 4 -> c: 0.887+0.420i | Offset X/Y: 0.93/-0.98 | Zoom: 1.16
Layer 5 -> c: -0.576-1.000i | Offset X/Y: -0.86/0.59 | Zoom: 0.71
Layer 6 -> c: 0.066-0.190i | Offset X/Y: 0.17/-0.10 | Zoom: 0.10

Generation 16 | MSE: 1938.50 | Genotype: 
Layer 1 -> c: 0.448-0.453i | Offset X/Y: -0.39/0.76 | Zoom: 0.61
Layer 2 -> c: -0.694-0.917i | Offset X/Y: -1.06/0.07 | Zoom: 0.60
Layer 3 -> c: -0.962+1.000i | Offset X/Y: 0.60/0.67 | Zoom: 0.47
Layer 4 -> c: 0.887+0.420i | Offset X/Y: 0.93/-0.98 | Zoom: 1.16
Layer 5 -> c: -0.576-1.000i | Offset X/Y: -0.86/0.59 | Zoom: 0.71
Layer 6 -> c: 0.066-0.190i | Offset X/Y: 0.17/-0.10 | Zoom: 0.10

Generation 17 | MSE: 1938.50 | Genotype: 
Layer 1 -> c: 0.448-0.453i | Offset X/Y: -0.39/0.76 | Zoom: 0.61
Layer 2 -> c: -0.694-0.917i | Offset X/Y: -1.06/0.07 | Zoom: 0.60
Layer 3 -> c: -0.962+1.000i | Offset X/Y: 0.60/0.67 | Zoom: 0.47
Layer 4 -> c: 0.887+0.420i | Offset X/Y: 0.93/-0.98 | Zoom: 1.16
Layer 5 -> c: -0.576-1.000i | Offset X/Y: -0.86/0.59 | Zoom: 0.71
Layer 6 -> c: 0.066-0.190i | Offset X/Y: 0.17/-0.10 | Zoom: 0.10

Generation 18 | MSE: 1837.88 | Genotype: 
Layer 1 -> c: 0.211-0.522i | Offset X/Y: -0.12/1.18 | Zoom: 0.10
Layer 2 -> c: -0.631-0.961i | Offset X/Y: -0.53/0.59 | Zoom: 0.86
Layer 3 -> c: -0.398+1.000i | Offset X/Y: 0.69/0.44 | Zoom: 0.67
Layer 4 -> c: 0.717+0.826i | Offset X/Y: 0.60/-1.08 | Zoom: 1.12
Layer 5 -> c: -1.000-1.000i | Offset X/Y: -0.71/0.56 | Zoom: 0.48
Layer 6 -> c: -0.702-0.141i | Offset X/Y: -0.57/-0.59 | Zoom: 0.64

Generation 19 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 20 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 21 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 22 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 23 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 24 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 25 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 26 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 27 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
Layer 3 -> c: -1.000+0.132i | Offset X/Y: 0.31/0.67 | Zoom: 0.47
Layer 4 -> c: 0.916+0.110i | Offset X/Y: 0.39/-0.93 | Zoom: 1.16
Layer 5 -> c: -0.317-1.000i | Offset X/Y: -0.61/0.24 | Zoom: 0.51
Layer 6 -> c: 0.066+1.000i | Offset X/Y: 0.52/-0.77 | Zoom: 0.10

Generation 28 | MSE: 1780.42 | Genotype: 
Layer 1 -> c: -0.745+0.387i | Offset X/Y: 0.14/0.26 | Zoom: 1.04
Layer 2 -> c: -0.703-1.000i | Offset X/Y: -1.06/0.54 | Zoom: 0.60
