Target Image: butterfly_nebula
Final Best MSE: 748.25
--------------------------------
Evolutionary History for butterfly_nebula
=========================================
Generation 0 | MSE: 3394.16 | Genotype: 
Layer 1 -> c: 0.457+0.318i | Offset X/Y: -0.12/-0.12 | Zoom: 0.81
Layer 2 -> c: -0.961+0.842i | Offset X/Y: 0.33/-0.03 | Zoom: 1.40
Layer 3 -> c: -0.279+0.014i | Offset X/Y: 0.15/0.18 | Zoom: 2.18
Layer 4 -> c: -0.103-0.261i | Offset X/Y: 0.08/-0.36 | Zoom: 2.44
Layer 5 -> c: -0.244+0.260i | Offset X/Y: 0.38/-0.11 | Zoom: 2.15
Layer 6 -> c: -0.510-0.669i | Offset X/Y: 0.42/-0.48 | Zoom: 0.90

Generation 1 | MSE: 2802.04 | Genotype: 
Layer 1 -> c: -1.000+0.353i | Offset X/Y: -0.43/-0.46 | Zoom: 0.44
Layer 2 -> c: -0.374-0.577i | Offset X/Y: 0.85/-0.38 | Zoom: 0.35
Layer 3 -> c: 0.535-0.380i | Offset X/Y: -0.22/-0.50 | Zoom: 2.35
Layer 4 -> c: -0.388+0.043i | Offset X/Y: -0.08/0.09 | Zoom: 2.00
Layer 5 -> c: -1.000-0.230i | Offset X/Y: 0.48/-0.05 | Zoom: 0.99
Layer 6 -> c: 0.016+0.664i | Offset X/Y: -0.26/0.19 | Zoom: 0.68

Generation 2 | MSE: 2018.37 | Genotype: 
Layer 1 -> c: -0.149+0.683i | Offset X/Y: -0.71/-0.34 | Zoom: 2.29
Layer 2 -> c: -0.629-0.103i | Offset X/Y: 0.61/-0.05 | Zoom: 0.31
Layer 3 -> c: 0.330-0.271i | Offset X/Y: 0.69/-1.19 | Zoom: 0.61
Layer 4 -> c: -0.498-0.533i | Offset X/Y: 0.36/0.15 | Zoom: 2.09
Layer 5 -> c: 0.402+1.000i | Offset X/Y: -0.10/-0.31 | Zoom: 0.61
Layer 6 -> c: 0.389+0.688i | Offset X/Y: -0.20/0.29 | Zoom: 0.68

Generation 3 | MSE: 1732.58 | Genotype: 
Layer 1 -> c: -0.996+0.318i | Offset X/Y: -0.13/-0.16 | Zoom: 2.29
Layer 2 -> c: -0.523+0.682i | Offset X/Y: -0.06/0.46 | Zoom: 0.61
Layer 3 -> c: 0.330-0.078i | Offset X/Y: -0.94/-1.19 | Zoom: 0.15
Layer 4 -> c: -0.914-0.504i | Offset X/Y: 0.36/0.23 | Zoom: 0.77
Layer 5 -> c: 0.402+1.000i | Offset X/Y: 0.65/-0.31 | Zoom: 0.31
Layer 6 -> c: 0.238+0.377i | Offset X/Y: -0.20/-0.01 | Zoom: 0.30

Generation 4 | MSE: 1732.58 | Genotype: 
Layer 1 -> c: -0.996+0.318i | Offset X/Y: -0.13/-0.16 | Zoom: 2.29
Layer 2 -> c: -0.523+0.682i | Offset X/Y: -0.06/0.46 | Zoom: 0.61
Layer 3 -> c: 0.330-0.078i | Offset X/Y: -0.94/-1.19 | Zoom: 0.15
Layer 4 -> c: -0.914-0.504i | Offset X/Y: 0.36/0.23 | Zoom: 0.77
Layer 5 -> c: 0.402+1.000i | Offset X/Y: 0.65/-0.31 | Zoom: 0.31
Layer 6 -> c: 0.238+0.377i | Offset X/Y: -0.20/-0.01 | Zoom: 0.30

Generation 5 | MSE: 1623.69 | Genotype: 
Layer 1 -> c: -0.385+0.713i | Offset X/Y: -0.03/-0.12 | Zoom: 0.59
Layer 2 -> c: -0.481+0.139i | Offset X/Y: 0.07/0.10 | Zoom: 0.10
Layer 3 -> c: -0.537-0.795i | Offset X/Y: 0.94/0.31 | Zoom: 0.36
Layer 4 -> c: -0.764+0.664i | Offset X/Y: -0.29/-0.61 | Zoom: 0.14
Layer 5 -> c: 1.000-0.539i | Offset X/Y: -0.55/-0.94 | Zoom: 0.75
Layer 6 -> c: -0.878+1.000i | Offset X/Y: -0.00/0.47 | Zoom: 0.62

Generation 6 | MSE: 1420.93 | Genotype: 
Layer 1 -> c: -0.167+0.795i | Offset X/Y: 0.19/-1.47 | Zoom: 0.10
Layer 2 -> c: 0.131+0.663i | Offset X/Y: -0.01/0.96 | Zoom: 0.10
Layer 3 -> c: -0.313-0.482i | Offset X/Y: -1.04/-1.11 | Zoom: 0.10
Layer 4 -> c: 0.318+0.831i | Offset X/Y: -0.37/0.32 | Zoom: 0.72
Layer 5 -> c: 0.389+1.000i | Offset X/Y: 0.37/0.08 | Zoom: 1.14
Layer 6 -> c: -0.671+0.649i | Offset X/Y: -0.09/0.17 | Zoom: 0.53

Generation 7 | MSE: 1350.47 | Genotype: 
Layer 1 -> c: -0.167+0.713i | Offset X/Y: 0.20/-0.31 | Zoom: 0.39
Layer 2 -> c: 0.131+0.139i | Offset X/Y: -0.47/-0.17 | Zoom: 0.10
Layer 3 -> c: -0.186-0.795i | Offset X/Y: -1.04/-0.90 | Zoom: 0.10
Layer 4 -> c: -0.764+0.664i | Offset X/Y: 0.02/-0.61 | Zoom: 0.72
Layer 5 -> c: 0.389+1.000i | Offset X/Y: -0.00/-0.55 | Zoom: 0.75
Layer 6 -> c: -0.671+1.000i | Offset X/Y: -0.29/0.49 | Zoom: 0.72

Generation 8 | MSE: 1271.96 | Genotype: 
Layer 1 -> c: 0.578+0.461i | Offset X/Y: 0.09/-0.72 | Zoom: 0.10
Layer 2 -> c: 0.213+0.663i | Offset X/Y: 0.37/0.72 | Zoom: 0.10
Layer 3 -> c: -0.313+0.733i | Offset X/Y: -1.04/-1.11 | Zoom: 0.24
Layer 4 -> c: -0.469+1.000i | Offset X/Y: -0.33/-0.10 | Zoom: 0.66
Layer 5 -> c: -0.075+1.000i | Offset X/Y: -0.03/0.46 | Zoom: 1.52
Layer 6 -> c: -0.671+0.597i | Offset X/Y: -0.02/0.19 | Zoom: 0.53

Generation 9 | MSE: 1271.96 | Genotype: 
Layer 1 -> c: 0.578+0.461i | Offset X/Y: 0.09/-0.72 | Zoom: 0.10
Layer 2 -> c: 0.213+0.663i | Offset X/Y: 0.37/0.72 | Zoom: 0.10
Layer 3 -> c: -0.313+0.733i | Offset X/Y: -1.04/-1.11 | Zoom: 0.24
Layer 4 -> c: -0.469+1.000i | Offset X/Y: -0.33/-0.10 | Zoom: 0.66
Layer 5 -> c: -0.075+1.000i | Offset X/Y: -0.03/0.46 | Zoom: 1.52
Layer 6 -> c: -0.671+0.597i | Offset X/Y: -0.02/0.19 | Zoom: 0.53

Generation 10 | MSE: 1236.89 | Genotype: 
Layer 1 -> c: -0.311+1.000i | Offset X/Y: 0.34/-0.24 | Zoom: 0.10
Layer 2 -> c: -0.616+0.790i | Offset X/Y: -0.11/0.14 | Zoom: 0.46
Layer 3 -> c: -0.708-0.094i | Offset X/Y: 0.04/0.06 | Zoom: 0.10
Layer 4 -> c: -0.372+0.551i | Offset X/Y: -0.29/0.05 | Zoom: 0.10
Layer 5 -> c: -0.185+1.000i | Offset X/Y: -0.04/0.14 | Zoom: 0.44
Layer 6 -> c: -1.000+1.000i | Offset X/Y: -0.16/0.14 | Zoom: 0.90

Generation 11 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 12 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 13 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 14 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 15 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 16 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 17 | MSE: 1157.46 | Genotype: 
Layer 1 -> c: 0.227+0.427i | Offset X/Y: 0.45/-1.37 | Zoom: 0.10
Layer 2 -> c: -0.607+1.000i | Offset X/Y: -0.49/0.35 | Zoom: 0.51
Layer 3 -> c: -0.335-0.121i | Offset X/Y: 0.01/-2.08 | Zoom: 0.52
Layer 4 -> c: -0.709+1.000i | Offset X/Y: -0.00/-0.01 | Zoom: 0.82
Layer 5 -> c: 0.356+0.856i | Offset X/Y: -0.33/0.24 | Zoom: 0.15
Layer 6 -> c: -0.587+0.955i | Offset X/Y: 0.11/0.08 | Zoom: 0.21

Generation 18 | MSE: 1157.46 | Genotype: 
