Target Image: IS-blackhole
Final Best MSE: 1354.54
--------------------------------
Evolutionary History for IS-blackhole
=========================================
Generation 0 | MSE: 8047.74 | Genotype: 
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 8 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 9 | MSE: 4070.92 | Genotype: 
Layer 1 -> c: -0.682-0.069i | Offset X/Y: -0.15/-1.20 | Zoom: 1.20
Layer 2 -> c: 0.494+0.097i | Offset X/Y: -1.50/0.48 | Zoom: 1.83
Layer 3 -> c: -0.587-1.000i | Offset X/Y: -0.09/0.74 | Zoom: 0.44
Layer 4 -> c: 0.260+0.075i | Offset X/Y: 0.16/0.79 | Zoom: 1.01
Layer 5 -> c: -0.116+0.978i | Offset X/Y: 0.35/-0.19 | Zoom: 0.18
Layer 6 -> c: 0.236+0.947i | Offset X/Y: -0.14/-0.12 | Zoom: 2.20
Layer 7 -> c: 0.612+0.725i | Offset X/Y: 0.16/0.41 | Zoom: 0.28
Layer 8 -> c: 0.435+0.563i | Offset X/Y: 0.82/-0.14 | Zoom: 0.10

Generation 10 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 11 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 12 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 13 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 14 | MSE: 3380.31 | Genotype: 
Layer 1 -> c: 0.607+0.588i | Offset X/Y: -0.28/0.48 | Zoom: 0.80
Layer 2 -> c: 0.197+0.299i | Offset X/Y: -0.47/0.02 | Zoom: 2.04
Layer 3 -> c: 0.723+0.979i | Offset X/Y: -0.48/-1.58 | Zoom: 0.10
Layer 4 -> c: -0.646+0.518i | Offset X/Y: 0.26/0.95 | Zoom: 0.39
Layer 5 -> c: 0.949-0.273i | Offset X/Y: -1.29/0.20 | Zoom: 0.84
Layer 6 -> c: -0.494-1.000i | Offset X/Y: -1.65/0.42 | Zoom: 1.49
Layer 7 -> c: -0.334+0.615i | Offset X/Y: -1.42/-0.70 | Zoom: 0.15
Layer 8 -> c: -0.011-0.487i | Offset X/Y: -0.54/0.60 | Zoom: 0.11

Generation 15 | MSE: 3374.41 | Genotype: 
Layer 1 -> c: -0.643-0.870i | Offset X/Y: -0.69/0.44 | Zoom: 0.17
Layer 2 -> c: 0.767-0.016i | Offset X/Y: -0.67/-0.35 | Zoom: 1.68
Layer 3 -> c: 0.400+0.943i | Offset X/Y: -0.10/0.77 | Zoom: 0.10
Layer 4 -> c: -1.000+0.358i | Offset X/Y: -0.95/0.96 | Zoom: 0.25
Layer 5 -> c: -0.679-0.537i | Offset X/Y: -1.36/0.18 | Zoom: 2.36
Layer 6 -> c: -0.561+0.030i | Offset X/Y: 0.47/0.71 | Zoom: 0.10
Layer 7 -> c: 0.825-0.136i | Offset X/Y: -1.32/-0.02 | Zoom: 0.35
Layer 8 -> c: -0.387-0.288i | Offset X/Y: -0.08/-0.28 | Zoom: 0.33

Generation 16 | MSE: 3374.41 | Genotype: 
Layer 1 -> c: -0.643-0.870i | Offset X/Y: -0.69/0.44 | Zoom: 0.17
Layer 2 -> c: 0.767-0.016i | Offset X/Y: -0.67/-0.35 | Zoom: 1.68
Layer 3 -> c: 0.400+0.943i | Offset X/Y: -0.10/0.77 | Zoom: 0.10
Layer 4 -> c: -1.000+0.358i | Offset X/Y: -0.95/0.96 | Zoom: 0.25
Layer 5 -> c: -0.679-0.537i | Offset X/Y: -1.36/0.18 | Zoom: 2.36
Layer 6 -> c: -0.561+0.030i | Offset X/Y: 0.47/0.71 | Zoom: 0.10
Layer 7 -> c: 0.825-0.136i | Offset X/Y: -1.32/-0.02 | Zoom: 0.35
Layer 8 -> c: -0.387-0.288i | Offset X/Y: -0.08/-0.28 | Zoom: 0.33

Generation 17 | MSE: 3374.41 | Genotype: 
Layer 1 -> c: -0.643-0.870i | Offset X/Y: -0.69/0.44 | Zoom: 0.17
Layer 2 -> c: 0.767-0.016i | Offset X/Y: -0.67/-0.35 | Zoom: 1.68
Layer 3 -> c: 0.400+0.943i | Offset X/Y: -0.10/0.77 | Zoom: 0.10
Layer 4 -> c: -1.000+0.358i | Offset X/Y: -0.95/0.96 | Zoom: 0.25
Layer 5 -> c: -0.679-0.537i | Offset X/Y: -1.36/0.18 | Zoom: 2.36
Layer 6 -> c: -0.561+0.030i | Offset X/Y: 0.47/0.71 | Zoom: 0.10
Layer 7 -> c: 0.825-0.136i | Offset X/Y: -1.32/-0.02 | Zoom: 0.35
Layer 8 -> c: -0.387-0.288i | Offset X/Y: -0.08/-0.28 | Zoom: 0.33

Generation 18 | MSE: 3374.41 | Genotype: 
Layer 1 -> c: -0.643-0.870i | Offset X/Y: -0.69/0.44 | Zoom: 0.17
Layer 2 -> c: 0.767-0.016i | Offset X/Y: -0.67/-0.35 | Zoom: 1.68
Layer 3 -> c: 0.400+0.943i | Offset X/Y: -0.10/0.77 | Zoom: 0.10
Layer 4 -> c: -1.000+0.358i | Offset X/Y: -0.95/0.96 | Zoom: 0.25
Layer 5 -> c: -0.679-0.537i | Offset X/Y: -1.36/0.18 | Zoom: 2.36
Layer 6 -> c: -0.561+0.030i | Offset X/Y: 0.47/0.71 | Zoom: 0.10
Layer 7 -> c: 0.825-0.136i | Offset X/Y: -1.32/-0.02 | Zoom: 0.35
Layer 8 -> c: -0.387-0.288i | Offset X/Y: -0.08/-0.28 | Zoom: 0.33

Generation 19 | MSE: 3325.17 | Genotype: 
Layer 1 -> c: -0.403-1.000i | Offset X/Y: -1.08/-0.52 | Zoom: 0.62
Layer 2 -> c: -0.348+1.000i | Offset X/Y: -1.41/0.14 | Zoom: 0.13
Layer 3 -> c: -1.000+0.311i | Offset X/Y: -0.86/2.32 | Zoom: 0.10
Layer 4 -> c: -0.652-0.702i | Offset X/Y: -1.48/0.99 | Zoom: 1.10
Layer 5 -> c: 0.901-1.000i | Offset X/Y: -0.71/-0.93 | Zoom: 0.86
Layer 6 -> c: -0.600-0.271i | Offset X/Y: -1.23/0.41 | Zoom: 0.37
Layer 7 -> c: 0.584-0.290i | Offset X/Y: -1.24/0.28 | Zoom: 1.55
Layer 8 -> c: -0.643+0.233i | Offset X/Y: -0.52/-0.56 | Zoom: 0.27

Generation 20 | MSE: 3325.17 | Genotype: 
Layer 1 -> c: -0.403-1.000i | Offset X/Y: -1.08/-0.52 | Zoom: 0.62
Layer 2 -> c: -0.348+1.000i | Offset X/Y: -1.41/0.14 | Zoom: 0.13
Layer 3 -> c: -1.000+0.311i | Offset X/Y: -0.86/2.32 | Zoom: 0.10
Layer 4 -> c: -0.652-0.702i | Offset X/Y: -1.48/0.99 | Zoom: 1.10
Layer 5 -> c: 0.901-1.000i | Offset X/Y: -0.71/-0.93 | Zoom: 0.86
Layer 6 -> c: -0.600-0.271i | Offset X/Y: -1.23/0.41 | Zoom: 0.37
Layer 7 -> c: 0.584-0.290i | Offset X/Y: -1.24/0.28 | Zoom: 1.55
Layer 8 -> c: -0.643+0.233i | Offset X/Y: -0.52/-0.56 | Zoom: 0.27

Generation 21 | MSE: 3325.17 | Genotype: 
Layer 1 -> c: -0.403-1.000i | Offset X/Y: -1.08/-0.52 | Zoom: 0.62
Layer 2 -> c: -0.348+1.000i | Offset X/Y: -1.41/0.14 | Zoom: 0.13
Layer 3 -> c: -1.000+0.311i | Offset X/Y: -0.86/2.32 | Zoom: 0.10
Layer 4 -> c: -0.652-0.702i | Offset X/Y: -1.48/0.99 | Zoom: 1.10
Layer 5 -> c: 0.901-1.000i | Offset X/Y: -0.71/-0.93 | Zoom: 0.86
Layer 6 -> c: -0.600-0.271i | Offset X/Y: -1.23/0.41 | Zoom: 0.37
Layer 7 -> c: 0.584-0.290i | Offset X/Y: -1.24/0.28 | Zoom: 1.55
Layer 8 -> c: -0.643+0.233i | Offset X/Y: -0.52/-0.56 | Zoom: 0.27

Generation 22 | MSE: 3251.52 | Genotype: 
Layer 1 -> c: -0.427+0.557i | Offset X/Y: -1.91/2.06 | Zoom: 0.52
Layer 2 -> c: 0.534-1.000i | Offset X/Y: -1.07/0.24 | Zoom: 0.48
Layer 3 -> c: -0.354+0.218i | Offset X/Y: 0.10/1.06 | Zoom: 0.10
Layer 4 -> c: 0.289+0.479i | Offset X/Y: -0.77/2.07 | Zoom: 0.90
Layer 5 -> c: -0.092+0.862i | Offset X/Y: -1.64/0.28 | Zoom: 0.32
Layer 6 -> c: -1.000+0.570i | Offset X/Y: -0.89/0.28 | Zoom: 1.55
Layer 7 -> c: 0.299+0.312i | Offset X/Y: -1.21/0.37 | Zoom: 0.93
Layer 8 -> c: 0.321-0.789i | Offset X/Y: 0.24/0.21 | Zoom: 0.28

Generation 23 | MSE: 3251.52 | Genotype: 
Layer 1 -> c: -0.427+0.557i | Offset X/Y: -1.91/2.06 | Zoom: 0.52
Layer 2 -> c: 0.534-1.000i | Offset X/Y: -1.07/0.24 | Zoom: 0.48
Layer 3 -> c: -0.354+0.218i | Offset X/Y: 0.10/1.06 | Zoom: 0.10
Layer 4 -> c: 0.289+0.479i | Offset X/Y: -0.77/2.07 | Zoom: 0.90
Layer 5 -> c: -0.092+0.862i | Offset X/Y: -1.64/0.28 | Zoom: 0.32
Layer 6 -> c: -1.000+0.570i | Offset X/Y: -0.89/0.28 | Zoom: 1.55
Layer 7 -> c: 0.299+0.312i | Offset X/Y: -1.21/0.37 | Zoom: 0.93
Layer 8 -> c: 0.321-0.789i | Offset X/Y: 0.24/0.21 | Zoom: 0.28

Generation 24 | MSE: 3118.36 | Genotype: 
