Target Image: purple_lightning
Final Best MSE: 1152.86
--------------------------------
Evolutionary History for purple_lightning
=========================================
Generation 0 | MSE: 6319.32 | Genotype: 
Layer 5 -> c: 0.252+0.646i | Offset X/Y: -0.33/0.21 | Zoom: 0.56
Layer 6 -> c: 0.311+0.059i | Offset X/Y: -1.07/0.52 | Zoom: 2.11
Layer 7 -> c: 0.342-0.461i | Offset X/Y: -1.37/-0.39 | Zoom: 0.10
Layer 8 -> c: 0.031+1.000i | Offset X/Y: -0.13/-1.14 | Zoom: 0.10

Generation 8 | MSE: 2875.18 | Genotype: 
Layer 1 -> c: -0.646-1.000i | Offset X/Y: 0.09/-1.39 | Zoom: 0.10
Layer 2 -> c: 0.432-0.189i | Offset X/Y: -0.43/-0.18 | Zoom: 0.10
Layer 3 -> c: -0.639+0.290i | Offset X/Y: -1.10/1.14 | Zoom: 0.75
Layer 4 -> c: -0.024-0.639i | Offset X/Y: 0.66/-0.83 | Zoom: 0.18
Layer 5 -> c: -0.598-0.601i | Offset X/Y: 0.49/-0.63 | Zoom: 1.13
Layer 6 -> c: -0.474+0.462i | Offset X/Y: 1.49/0.70 | Zoom: 0.27
Layer 7 -> c: 0.114-0.081i | Offset X/Y: -1.40/-0.20 | Zoom: 1.55
Layer 8 -> c: -0.115+1.000i | Offset X/Y: -0.12/-0.18 | Zoom: 0.77

Generation 9 | MSE: 2875.18 | Genotype: 
Layer 1 -> c: -0.646-1.000i | Offset X/Y: 0.09/-1.39 | Zoom: 0.10
Layer 2 -> c: 0.432-0.189i | Offset X/Y: -0.43/-0.18 | Zoom: 0.10
Layer 3 -> c: -0.639+0.290i | Offset X/Y: -1.10/1.14 | Zoom: 0.75
Layer 4 -> c: -0.024-0.639i | Offset X/Y: 0.66/-0.83 | Zoom: 0.18
Layer 5 -> c: -0.598-0.601i | Offset X/Y: 0.49/-0.63 | Zoom: 1.13
Layer 6 -> c: -0.474+0.462i | Offset X/Y: 1.49/0.70 | Zoom: 0.27
Layer 7 -> c: 0.114-0.081i | Offset X/Y: -1.40/-0.20 | Zoom: 1.55
Layer 8 -> c: -0.115+1.000i | Offset X/Y: -0.12/-0.18 | Zoom: 0.77

Generation 10 | MSE: 2875.18 | Genotype: 
Layer 1 -> c: -0.646-1.000i | Offset X/Y: 0.09/-1.39 | Zoom: 0.10
Layer 2 -> c: 0.432-0.189i | Offset X/Y: -0.43/-0.18 | Zoom: 0.10
Layer 3 -> c: -0.639+0.290i | Offset X/Y: -1.10/1.14 | Zoom: 0.75
Layer 4 -> c: -0.024-0.639i | Offset X/Y: 0.66/-0.83 | Zoom: 0.18
Layer 5 -> c: -0.598-0.601i | Offset X/Y: 0.49/-0.63 | Zoom: 1.13
Layer 6 -> c: -0.474+0.462i | Offset X/Y: 1.49/0.70 | Zoom: 0.27
Layer 7 -> c: 0.114-0.081i | Offset X/Y: -1.40/-0.20 | Zoom: 1.55
Layer 8 -> c: -0.115+1.000i | Offset X/Y: -0.12/-0.18 | Zoom: 0.77

Generation 11 | MSE: 2702.63 | Genotype: 
Layer 1 -> c: -0.150-0.446i | Offset X/Y: 0.10/-0.80 | Zoom: 0.34
Layer 2 -> c: -0.066+0.520i | Offset X/Y: -0.43/-1.06 | Zoom: 0.10
Layer 3 -> c: -1.000+0.299i | Offset X/Y: -0.74/0.73 | Zoom: 0.62
Layer 4 -> c: 0.013+1.000i | Offset X/Y: 0.26/0.72 | Zoom: 0.10
Layer 5 -> c: 0.270+1.000i | Offset X/Y: -0.42/-0.13 | Zoom: 1.66
Layer 6 -> c: 0.554-0.351i | Offset X/Y: -1.58/0.64 | Zoom: 0.10
Layer 7 -> c: 0.455-0.135i | Offset X/Y: -1.39/0.07 | Zoom: 0.84
Layer 8 -> c: -0.070+0.870i | Offset X/Y: -0.81/-0.35 | Zoom: 0.24

Generation 12 | MSE: 2702.63 | Genotype: 
Layer 1 -> c: -0.150-0.446i | Offset X/Y: 0.10/-0.80 | Zoom: 0.34
Layer 2 -> c: -0.066+0.520i | Offset X/Y: -0.43/-1.06 | Zoom: 0.10
Layer 3 -> c: -1.000+0.299i | Offset X/Y: -0.74/0.73 | Zoom: 0.62
Layer 4 -> c: 0.013+1.000i | Offset X/Y: 0.26/0.72 | Zoom: 0.10
Layer 5 -> c: 0.270+1.000i | Offset X/Y: -0.42/-0.13 | Zoom: 1.66
Layer 6 -> c: 0.554-0.351i | Offset X/Y: -1.58/0.64 | Zoom: 0.10
Layer 7 -> c: 0.455-0.135i | Offset X/Y: -1.39/0.07 | Zoom: 0.84
Layer 8 -> c: -0.070+0.870i | Offset X/Y: -0.81/-0.35 | Zoom: 0.24

Generation 13 | MSE: 2702.63 | Genotype: 
Layer 1 -> c: -0.150-0.446i | Offset X/Y: 0.10/-0.80 | Zoom: 0.34
Layer 2 -> c: -0.066+0.520i | Offset X/Y: -0.43/-1.06 | Zoom: 0.10
Layer 3 -> c: -1.000+0.299i | Offset X/Y: -0.74/0.73 | Zoom: 0.62
Layer 4 -> c: 0.013+1.000i | Offset X/Y: 0.26/0.72 | Zoom: 0.10
Layer 5 -> c: 0.270+1.000i | Offset X/Y: -0.42/-0.13 | Zoom: 1.66
Layer 6 -> c: 0.554-0.351i | Offset X/Y: -1.58/0.64 | Zoom: 0.10
Layer 7 -> c: 0.455-0.135i | Offset X/Y: -1.39/0.07 | Zoom: 0.84
Layer 8 -> c: -0.070+0.870i | Offset X/Y: -0.81/-0.35 | Zoom: 0.24

Generation 14 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 15 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 16 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
Layer 7 -> c: -0.591-0.327i | Offset X/Y: -0.37/0.07 | Zoom: 0.84
Layer 8 -> c: 0.298-0.757i | Offset X/Y: 0.88/-0.83 | Zoom: 0.10

Generation 17 | MSE: 2454.38 | Genotype: 
Layer 1 -> c: -0.150-0.684i | Offset X/Y: -0.08/1.02 | Zoom: 0.35
Layer 2 -> c: -1.000-0.025i | Offset X/Y: 1.22/-1.04 | Zoom: 0.10
Layer 3 -> c: -0.456+0.501i | Offset X/Y: -1.76/0.73 | Zoom: 0.56
Layer 4 -> c: 0.013-0.698i | Offset X/Y: 0.59/-0.06 | Zoom: 0.33
Layer 5 -> c: 0.022+1.000i | Offset X/Y: -0.48/0.22 | Zoom: 1.82
Layer 6 -> c: 0.159-0.766i | Offset X/Y: -1.61/0.49 | Zoom: 0.10
