Target Image: blackhole
Final Best MSE: 643.20
--------------------------------
Evolutionary History for blackhole
=========================================
Generation 0 | MSE: 5807.06 | Genotype: 
Layer 6 -> c: 0.427-0.801i | Offset X/Y: 0.44/-0.96 | Zoom: 0.55

Generation 10 | MSE: 1508.70 | Genotype: 
Layer 1 -> c: -1.000-0.096i | Offset X/Y: 0.14/1.33 | Zoom: 0.10
Layer 2 -> c: -0.495-0.380i | Offset X/Y: -0.95/0.26 | Zoom: 0.54
Layer 3 -> c: -0.013+0.324i | Offset X/Y: -0.16/-0.14 | Zoom: 0.54
Layer 4 -> c: -0.017-0.365i | Offset X/Y: -0.32/0.53 | Zoom: 0.44
Layer 5 -> c: -1.000-0.321i | Offset X/Y: 0.59/-0.69 | Zoom: 0.10
Layer 6 -> c: 0.427-0.801i | Offset X/Y: 0.44/-0.96 | Zoom: 0.55

Generation 11 | MSE: 1508.70 | Genotype: 
Layer 1 -> c: -1.000-0.096i | Offset X/Y: 0.14/1.33 | Zoom: 0.10
Layer 2 -> c: -0.495-0.380i | Offset X/Y: -0.95/0.26 | Zoom: 0.54
Layer 3 -> c: -0.013+0.324i | Offset X/Y: -0.16/-0.14 | Zoom: 0.54
Layer 4 -> c: -0.017-0.365i | Offset X/Y: -0.32/0.53 | Zoom: 0.44
Layer 5 -> c: -1.000-0.321i | Offset X/Y: 0.59/-0.69 | Zoom: 0.10
Layer 6 -> c: 0.427-0.801i | Offset X/Y: 0.44/-0.96 | Zoom: 0.55

Generation 12 | MSE: 1506.73 | Genotype: 
Layer 1 -> c: -0.088+0.154i | Offset X/Y: 0.97/0.07 | Zoom: 0.10
Layer 2 -> c: -0.369+1.000i | Offset X/Y: 0.62/0.60 | Zoom: 0.57
Layer 3 -> c: -0.690+0.062i | Offset X/Y: -0.02/-0.91 | Zoom: 0.37
Layer 4 -> c: -0.321+0.095i | Offset X/Y: 0.05/0.05 | Zoom: 0.14
Layer 5 -> c: -0.000+1.000i | Offset X/Y: -1.13/-0.64 | Zoom: 0.63
Layer 6 -> c: 0.152-0.367i | Offset X/Y: 0.72/0.03 | Zoom: 0.10

Generation 13 | MSE: 1447.31 | Genotype: 
Layer 1 -> c: -0.697-1.000i | Offset X/Y: 0.21/1.06 | Zoom: 0.35
Layer 2 -> c: -0.119+0.717i | Offset X/Y: -1.22/-0.26 | Zoom: 0.26
Layer 3 -> c: -0.840-0.327i | Offset X/Y: 0.13/-0.38 | Zoom: 0.80
Layer 4 -> c: -1.000+0.028i | Offset X/Y: -0.14/0.30 | Zoom: 0.10
Layer 5 -> c: -0.821+0.419i | Offset X/Y: 0.59/-0.14 | Zoom: 0.10
Layer 6 -> c: 0.203-0.594i | Offset X/Y: 1.00/-1.19 | Zoom: 0.28

Generation 14 | MSE: 1447.31 | Genotype: 
Layer 1 -> c: -0.697-1.000i | Offset X/Y: 0.21/1.06 | Zoom: 0.35
Layer 2 -> c: -0.119+0.717i | Offset X/Y: -1.22/-0.26 | Zoom: 0.26
Layer 3 -> c: -0.840-0.327i | Offset X/Y: 0.13/-0.38 | Zoom: 0.80
Layer 4 -> c: -1.000+0.028i | Offset X/Y: -0.14/0.30 | Zoom: 0.10
Layer 5 -> c: -0.821+0.419i | Offset X/Y: 0.59/-0.14 | Zoom: 0.10
Layer 6 -> c: 0.203-0.594i | Offset X/Y: 1.00/-1.19 | Zoom: 0.28

