Target Image: IS-blackhole
Final Best MSE: 1446.41
--------------------------------
Evolutionary History for IS-blackhole
=========================================
Generation 0 | MSE: 8119.56 | Genotype: 
Layer 1 -> c: -0.111-0.559i | Offset X/Y: 0.09/0.46 | Zoom: 0.90
Layer 2 -> c: -0.708-0.942i | Offset X/Y: -0.47/-0.14 | Zoom: 0.63
Layer 3 -> c: -0.391+0.515i | Offset X/Y: -0.11/-0.32 | Zoom: 2.28
Layer 4 -> c: -0.493-0.260i | Offset X/Y: 0.35/-0.11 | Zoom: 2.23
Layer 5 -> c: -0.352+0.131i | Offset X/Y: 0.00/0.05 | Zoom: 1.48
Layer 6 -> c: -0.369+0.404i | Offset X/Y: -0.35/-0.39 | Zoom: 2.25
Layer 7 -> c: 0.528-0.388i | Offset X/Y: 0.28/0.25 | Zoom: 0.52
Layer 8 -> c: 0.443-0.420i | Offset X/Y: -0.48/-0.24 | Zoom: 1.91

Generation 1 | MSE: 6168.89 | Genotype: 
Layer 1 -> c: 0.311+0.676i | Offset X/Y: -0.31/-0.49 | Zoom: 2.61
Layer 2 -> c: 0.347+0.599i | Offset X/Y: 0.31/-0.68 | Zoom: 1.02
Layer 3 -> c: -0.044-0.328i | Offset X/Y: 0.55/-0.28 | Zoom: 1.26
Layer 4 -> c: 0.450+0.965i | Offset X/Y: 0.12/-0.03 | Zoom: 0.11
Layer 5 -> c: -0.660+0.320i | Offset X/Y: 0.39/-0.35 | Zoom: 2.94
Layer 6 -> c: -0.176-0.667i | Offset X/Y: 0.16/0.03 | Zoom: 1.38
Layer 7 -> c: 0.382+0.379i | Offset X/Y: 0.18/0.49 | Zoom: 0.16
Layer 8 -> c: -0.274+0.577i | Offset X/Y: 0.32/0.43 | Zoom: 1.83

Generation 2 | MSE: 5770.11 | Genotype: 
Layer 1 -> c: -1.000-0.250i | Offset X/Y: -0.45/0.08 | Zoom: 0.71
Layer 2 -> c: 0.276+0.616i | Offset X/Y: 0.04/0.49 | Zoom: 2.14
Layer 3 -> c: -0.072-0.029i | Offset X/Y: 0.33/-0.11 | Zoom: 2.26
Layer 4 -> c: -0.206-0.072i | Offset X/Y: -0.16/-0.13 | Zoom: 2.40
Layer 5 -> c: -0.315+0.777i | Offset X/Y: -0.80/-0.12 | Zoom: 1.98
Layer 6 -> c: 0.337-0.732i | Offset X/Y: -0.30/0.51 | Zoom: 0.40
Layer 7 -> c: 0.591-0.416i | Offset X/Y: -0.11/0.48 | Zoom: 0.54
Layer 8 -> c: -0.381+0.226i | Offset X/Y: -0.22/0.26 | Zoom: 1.41

Generation 3 | MSE: 5087.56 | Genotype: 
Layer 1 -> c: 0.311+0.300i | Offset X/Y: 0.01/-0.63 | Zoom: 2.35
Layer 2 -> c: 0.347+0.599i | Offset X/Y: -0.74/-0.33 | Zoom: 1.61
Layer 3 -> c: 0.614-0.328i | Offset X/Y: -0.00/0.12 | Zoom: 1.27
Layer 4 -> c: 0.513+0.508i | Offset X/Y: 0.38/0.35 | Zoom: 0.11
Layer 5 -> c: 0.023-0.468i | Offset X/Y: 0.60/-0.24 | Zoom: 2.94
Layer 6 -> c: -0.176+0.087i | Offset X/Y: -0.12/0.03 | Zoom: 3.23
Layer 7 -> c: 0.827+0.328i | Offset X/Y: -0.85/0.06 | Zoom: 0.16
Layer 8 -> c: -0.274+0.198i | Offset X/Y: 0.32/0.33 | Zoom: 0.58

Generation 4 | MSE: 5087.56 | Genotype: 
Layer 1 -> c: 0.311+0.300i | Offset X/Y: 0.01/-0.63 | Zoom: 2.35
Layer 2 -> c: 0.347+0.599i | Offset X/Y: -0.74/-0.33 | Zoom: 1.61
Layer 3 -> c: 0.614-0.328i | Offset X/Y: -0.00/0.12 | Zoom: 1.27
Layer 4 -> c: 0.513+0.508i | Offset X/Y: 0.38/0.35 | Zoom: 0.11
Layer 5 -> c: 0.023-0.468i | Offset X/Y: 0.60/-0.24 | Zoom: 2.94
Layer 6 -> c: -0.176+0.087i | Offset X/Y: -0.12/0.03 | Zoom: 3.23
Layer 7 -> c: 0.827+0.328i | Offset X/Y: -0.85/0.06 | Zoom: 0.16
Layer 8 -> c: -0.274+0.198i | Offset X/Y: 0.32/0.33 | Zoom: 0.58

Generation 5 | MSE: 5087.56 | Genotype: 
Layer 1 -> c: 0.311+0.300i | Offset X/Y: 0.01/-0.63 | Zoom: 2.35
Layer 2 -> c: 0.347+0.599i | Offset X/Y: -0.74/-0.33 | Zoom: 1.61
Layer 3 -> c: 0.614-0.328i | Offset X/Y: -0.00/0.12 | Zoom: 1.27
Layer 4 -> c: 0.513+0.508i | Offset X/Y: 0.38/0.35 | Zoom: 0.11
Layer 5 -> c: 0.023-0.468i | Offset X/Y: 0.60/-0.24 | Zoom: 2.94
Layer 6 -> c: -0.176+0.087i | Offset X/Y: -0.12/0.03 | Zoom: 3.23
Layer 7 -> c: 0.827+0.328i | Offset X/Y: -0.85/0.06 | Zoom: 0.16
Layer 8 -> c: -0.274+0.198i | Offset X/Y: 0.32/0.33 | Zoom: 0.58

Generation 6 | MSE: 4405.55 | Genotype: 
Layer 1 -> c: -0.987+0.441i | Offset X/Y: -0.80/1.26 | Zoom: 0.10
Layer 2 -> c: 0.188+0.359i | Offset X/Y: 0.66/-1.03 | Zoom: 1.14
Layer 3 -> c: -0.243-0.578i | Offset X/Y: -0.10/0.52 | Zoom: 0.63
Layer 4 -> c: -0.640+0.081i | Offset X/Y: -0.57/0.54 | Zoom: 0.72
Layer 5 -> c: 0.745+0.532i | Offset X/Y: -0.75/-0.17 | Zoom: 1.30
Layer 6 -> c: 1.000-0.311i | Offset X/Y: -1.12/0.64 | Zoom: 0.44
Layer 7 -> c: -0.339+0.861i | Offset X/Y: 0.52/-0.15 | Zoom: 0.10
Layer 8 -> c: -0.917+0.319i | Offset X/Y: -0.48/0.31 | Zoom: 0.30

Generation 7 | MSE: 4405.55 | Genotype: 
Layer 1 -> c: -0.987+0.441i | Offset X/Y: -0.80/1.26 | Zoom: 0.10
Layer 2 -> c: 0.188+0.359i | Offset X/Y: 0.66/-1.03 | Zoom: 1.14
Layer 3 -> c: -0.243-0.578i | Offset X/Y: -0.10/0.52 | Zoom: 0.63
Layer 4 -> c: -0.640+0.081i | Offset X/Y: -0.57/0.54 | Zoom: 0.72
Layer 5 -> c: 0.745+0.532i | Offset X/Y: -0.75/-0.17 | Zoom: 1.30
Layer 6 -> c: 1.000-0.311i | Offset X/Y: -1.12/0.64 | Zoom: 0.44
Layer 7 -> c: -0.339+0.861i | Offset X/Y: 0.52/-0.15 | Zoom: 0.10
Layer 8 -> c: -0.917+0.319i | Offset X/Y: -0.48/0.31 | Zoom: 0.30

Generation 8 | MSE: 4304.32 | Genotype: 
Layer 1 -> c: 0.446-0.318i | Offset X/Y: 0.38/-1.11 | Zoom: 0.13
Layer 2 -> c: -0.613-0.351i | Offset X/Y: -0.18/-0.04 | Zoom: 0.13
Layer 3 -> c: -0.696-0.452i | Offset X/Y: -0.63/-1.03 | Zoom: 0.45
Layer 4 -> c: -0.719+0.825i | Offset X/Y: 0.34/-0.30 | Zoom: 0.16
Layer 5 -> c: 0.134+0.460i | Offset X/Y: -1.15/-0.24 | Zoom: 2.89
Layer 6 -> c: 0.866+0.788i | Offset X/Y: -0.96/0.85 | Zoom: 0.46
Layer 7 -> c: -0.153+0.170i | Offset X/Y: 0.17/-0.31 | Zoom: 1.53
Layer 8 -> c: -0.890+0.812i | Offset X/Y: -0.01/0.48 | Zoom: 1.38

Generation 9 | MSE: 3568.19 | Genotype: 
Layer 1 -> c: -0.462+0.083i | Offset X/Y: -1.55/0.60 | Zoom: 1.17
Layer 2 -> c: 1.000-0.525i | Offset X/Y: -0.93/0.10 | Zoom: 0.13
Layer 3 -> c: -0.828+0.365i | Offset X/Y: 0.93/1.49 | Zoom: 0.58
Layer 4 -> c: -0.001+0.528i | Offset X/Y: -0.85/0.34 | Zoom: 0.32
Layer 5 -> c: 0.134+0.127i | Offset X/Y: -0.01/0.94 | Zoom: 0.56
Layer 6 -> c: 0.356+0.821i | Offset X/Y: -0.59/0.80 | Zoom: 0.86
Layer 7 -> c: 0.373-0.129i | Offset X/Y: -1.36/0.26 | Zoom: 1.63
Layer 8 -> c: 0.153-0.109i | Offset X/Y: -1.21/0.54 | Zoom: 1.24

Generation 10 | MSE: 3394.06 | Genotype: 
Layer 1 -> c: 0.383+0.009i | Offset X/Y: -1.46/0.04 | Zoom: 1.03
Layer 2 -> c: 1.000+1.000i | Offset X/Y: -1.01/-0.97 | Zoom: 0.27
Layer 3 -> c: -0.199-1.000i | Offset X/Y: -0.31/0.75 | Zoom: 0.10
Layer 4 -> c: -0.513+0.953i | Offset X/Y: 0.10/-1.12 | Zoom: 0.22
Layer 5 -> c: -0.501-0.427i | Offset X/Y: 0.19/0.09 | Zoom: 3.08
Layer 6 -> c: 0.689-0.988i | Offset X/Y: -0.38/0.01 | Zoom: 1.12
Layer 7 -> c: 0.299-0.036i | Offset X/Y: 0.57/-1.13 | Zoom: 0.10
Layer 8 -> c: 0.026+0.219i | Offset X/Y: -1.53/0.64 | Zoom: 1.05

Generation 11 | MSE: 3394.06 | Genotype: 
Layer 1 -> c: 0.383+0.009i | Offset X/Y: -1.46/0.04 | Zoom: 1.03
Layer 2 -> c: 1.000+1.000i | Offset X/Y: -1.01/-0.97 | Zoom: 0.27
Layer 3 -> c: -0.199-1.000i | Offset X/Y: -0.31/0.75 | Zoom: 0.10
Layer 4 -> c: -0.513+0.953i | Offset X/Y: 0.10/-1.12 | Zoom: 0.22
Layer 5 -> c: -0.501-0.427i | Offset X/Y: 0.19/0.09 | Zoom: 3.08
Layer 6 -> c: 0.689-0.988i | Offset X/Y: -0.38/0.01 | Zoom: 1.12
Layer 7 -> c: 0.299-0.036i | Offset X/Y: 0.57/-1.13 | Zoom: 0.10
Layer 8 -> c: 0.026+0.219i | Offset X/Y: -1.53/0.64 | Zoom: 1.05

Generation 12 | MSE: 3394.06 | Genotype: 
Layer 1 -> c: 0.383+0.009i | Offset X/Y: -1.46/0.04 | Zoom: 1.03
Layer 2 -> c: 1.000+1.000i | Offset X/Y: -1.01/-0.97 | Zoom: 0.27
Layer 3 -> c: -0.199-1.000i | Offset X/Y: -0.31/0.75 | Zoom: 0.10
Layer 4 -> c: -0.513+0.953i | Offset X/Y: 0.10/-1.12 | Zoom: 0.22
Layer 5 -> c: -0.501-0.427i | Offset X/Y: 0.19/0.09 | Zoom: 3.08
Layer 6 -> c: 0.689-0.988i | Offset X/Y: -0.38/0.01 | Zoom: 1.12
Layer 7 -> c: 0.299-0.036i | Offset X/Y: 0.57/-1.13 | Zoom: 0.10
Layer 8 -> c: 0.026+0.219i | Offset X/Y: -1.53/0.64 | Zoom: 1.05

Generation 13 | MSE: 3360.63 | Genotype: 
Layer 1 -> c: 1.000-0.121i | Offset X/Y: -1.10/0.45 | Zoom: 1.26
Layer 2 -> c: 0.600+0.309i | Offset X/Y: -1.58/0.40 | Zoom: 0.20
Layer 3 -> c: 0.539-0.008i | Offset X/Y: -0.52/0.49 | Zoom: 0.63
Layer 4 -> c: -0.349+0.305i | Offset X/Y: 0.79/0.18 | Zoom: 0.10
Layer 5 -> c: -0.136-0.613i | Offset X/Y: -0.99/-0.28 | Zoom: 1.17
Layer 6 -> c: 0.178-0.033i | Offset X/Y: -0.74/0.79 | Zoom: 0.10
Layer 7 -> c: -0.111+0.786i | Offset X/Y: -0.60/-0.46 | Zoom: 0.35
Layer 8 -> c: 0.369+0.969i | Offset X/Y: -0.59/0.29 | Zoom: 0.89

Generation 14 | MSE: 3360.63 | Genotype: 
Layer 1 -> c: 1.000-0.121i | Offset X/Y: -1.10/0.45 | Zoom: 1.26
Layer 2 -> c: 0.600+0.309i | Offset X/Y: -1.58/0.40 | Zoom: 0.20
Layer 3 -> c: 0.539-0.008i | Offset X/Y: -0.52/0.49 | Zoom: 0.63
Layer 4 -> c: -0.349+0.305i | Offset X/Y: 0.79/0.18 | Zoom: 0.10
Layer 5 -> c: -0.136-0.613i | Offset X/Y: -0.99/-0.28 | Zoom: 1.17
Layer 6 -> c: 0.178-0.033i | Offset X/Y: -0.74/0.79 | Zoom: 0.10
Layer 7 -> c: -0.111+0.786i | Offset X/Y: -0.60/-0.46 | Zoom: 0.35
Layer 8 -> c: 0.369+0.969i | Offset X/Y: -0.59/0.29 | Zoom: 0.89

Generation 15 | MSE: 3096.46 | Genotype: 
Layer 1 -> c: 0.624-1.000i | Offset X/Y: -1.10/0.24 | Zoom: 1.43
Layer 2 -> c: 0.676-0.950i | Offset X/Y: -0.36/0.72 | Zoom: 0.20
Layer 3 -> c: 0.425-0.740i | Offset X/Y: -0.52/2.09 | Zoom: 0.45
Layer 4 -> c: 0.519+1.000i | Offset X/Y: 0.19/0.40 | Zoom: 0.10
Layer 5 -> c: -0.368+0.567i | Offset X/Y: -0.66/-0.12 | Zoom: 1.13
Layer 6 -> c: 0.003-0.199i | Offset X/Y: -1.31/-0.66 | Zoom: 0.10
Layer 7 -> c: 0.226-0.089i | Offset X/Y: -0.93/-0.46 | Zoom: 0.35
Layer 8 -> c: 0.320+0.937i | Offset X/Y: -0.59/0.29 | Zoom: 0.60

Generation 16 | MSE: 3096.46 | Genotype: 
Layer 1 -> c: 0.624-1.000i | Offset X/Y: -1.10/0.24 | Zoom: 1.43
Layer 2 -> c: 0.676-0.950i | Offset X/Y: -0.36/0.72 | Zoom: 0.20
